risk_group,mean,count,rate
elderly / Russian,0.0648508430609598,1542,6.48508430609598
elderly / Other,0.06203007518796992,1064,6.203007518796992
pediatric / Russian,0.06,450,6.0
pediatric / Somali,0.059322033898305086,236,5.932203389830509
pediatric / Arabic,0.057803468208092484,346,5.780346820809249
elderly / Arabic,0.057729941291585124,1022,5.772994129158512
elderly / Swedish,0.05737234652897304,1743,5.737234652897303
pediatric / Estonian,0.056555269922879174,389,5.655526992287918
middle_aged / Swedish,0.0554029304029304,2184,5.54029304029304
young_adult / Russian,0.05518496058217101,1649,5.518496058217101
young_adult / Finnish,0.05499618611746758,13110,5.499618611746758
young_adult / Estonian,0.05474705474705475,1443,5.474705474705475
young_adult / Arabic,0.05425101214574899,1235,5.425101214574899
elderly / Finnish,0.05373184451347494,11911,5.373184451347494
middle_aged / Arabic,0.053691275167785234,1341,5.369127516778524
